id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,rfdsd
aug002,En obeskrivlig människa,Kerstin Strandberg,F,PRESTIGE,quot,40027,37376,61233,49708,68787,182903,66808,90391,160504,57662,81541
aug006,I min ungdom speglade jag mig ofta,Per Gunnar Evander,M,PRESTIGE,dash,0,0,0,203228,213090,459516,176330,99821,185595,93545,143118
aug011,Har någon sett mig någon annanstans? Skärvor ur en ganska lång natt,Beate Grimsrud,F,PRESTIGE,dash,97128,275392,193663,195440,79088,196328,233639,87060,169085,122630,164949
aug012,Stundande natten,Carl-Henning Wijkmark,M,PRESTIGE,quot,14138,259504,140478,175935,212759,91423,96136,127593,23249,31741,117294
aug013,Världens sista,Daniel Sjölin,M,PRESTIGE,quot,23265,49699,51224,151954,30102,71436,151531,109603,266633,97357,100281
aug016,Edelcrantz förbindelser,Malte Persson,M,PRESTIGE,dash,197433,88078,148698,195174,35307,290741,97112,124688,50398,155017,138266
aug017,Ett annat liv,Per Olov Enquist,M,PRESTIGE,quot,10754,18734,6678,34432,19166,25239,17691,21249,69725,12142,23581
aug019,Den siste greken,Aris Fioretos,M,PRESTIGE,quot,122715,156587,107808,217823,185463,110091,106207,117503,218732,115903,145883
aug020,En liten historia,Eva Adolfsson,F,PRESTIGE,quot,28992,44937,34376,30234,31276,96914,126320,39139,15945,43703,49184
aug022,Ränderna,Magnus Florin,M,PRESTIGE,dash,105030,197041,0,55030,116272,245562,44083,281953,223964,288843,155774
aug023,Kioskvridning 140 grader. En wästern,Peter Törnqvist,M,PRESTIGE,dash,73386,65061,36117,7941,76076,63781,103996,59682,98489,419057,100359
aug024,Darling River. Doloresvariationer,Sara Stridsberg,F,PRESTIGE,quot,20122,5081,90244,81301,62004,154065,104268,1423,94309,53669,66649
aug026,Välkommen till den här världen:,Amanda Svensson,F,PRESTIGE,quot,2955,78116,123730,360295,121884,206464,102678,136103,303416,133149,156879
aug027,Rekviem för John Cummings,Bengt Ohlsson,M,PRESTIGE,dash,119835,108477,64644,108706,68227,76841,92392,75240,43299,70209,82787
aug029,Lacrimosa,Eva-Marie Liffner,F,PRESTIGE,quot,82988,103301,142991,146733,104504,160631,144594,178805,207537,175621,144770
aug030,Korparna,Tomas Bannerhed,M,PRESTIGE,dash,190520,197756,174396,310625,298637,242528,300550,251689,172335,157105,229615
aug031,Springa med åror,Cilla Naumann,F,PRESTIGE,quot,45278,108419,93402,49346,44224,17333,61196,46524,33074,127720,62650
aug032,Ett kort uppehåll på vägen från Auschwitz,Göran Rosenberg,M,PRESTIGE,quot,51254,18541,86403,57312,59864,90160,41318,57683,66408,128454,65739
aug033,En storm kom från paradiset,Johannes Anyuru,M,PRESTIGE,quot,165001,177918,121482,104567,53052,66738,70275,63048,45979,54291,92236
aug037,Liknelseboken. En kärleksroman,Per Olov Enquist,M,PRESTIGE,dash,0,0,10463,18407,96105,0,24608,38171,0,127688,31544
aug038,Porslinsfasaderna,Sven Olov Karlsson,M,PRESTIGE,dash,102659,42508,17854,30668,14169,52591,36102,136037,63859,57453,55392
aug039,Alkemistens dotter. Slutet på universum,Carl-Michael Edenborg,M,PRESTIGE,dash,217788,339380,315111,481861,308732,427320,432324,320240,267576,274081,338441
aug041,Ett så starkt ljus,Lyra Ekström Lindbäck,F,PRESTIGE,quot,99824,139680,48000,88000,43200,86560,217440,212000,228480,80800,124398
aug042,Beckomberga. Ode till min familj,Sara Stridsberg,F,PRESTIGE,quot,151310,253567,253099,265029,203977,401404,305965,311813,318129,247953,271222
aug045,Mary,Aris Fioretos,M,PRESTIGE,quot,51977,61313,55204,146062,74197,83407,123737,78640,122293,88970,88580
aug046,Masja,Carola Hansson,F,PRESTIGE,quot,43786,98330,83193,88635,70245,141052,129730,136611,108213,169137,106893
aug047,Rörelsen. Den andra platsen,John Ajvide Lindqvist,M,PRESTIGE,quot,77120,59413,72926,64073,128277,173928,94362,84110,98672,21787,87467
aug049,Bli som folk,Stina Stoor,F,PRESTIGE,dash,26288,104085,18472,81350,83126,35879,32682,25933,47957,55437,51121
aug051,De polyglotta älskarna,Lina Wolff,F,PRESTIGE,dash,101322,162829,89734,422671,258841,121379,142772,193879,206359,97920,179771
aug053,Aftonland,Therese Bohman,F,PRESTIGE,quot,147556,70156,173178,77972,109415,236780,147946,125023,156670,59251,130398
aug054,Just nu är jag här,Isabelle Ståhl,F,PRESTIGE,quot,82517,103211,186831,259568,305823,299655,283874,286414,378378,384364,257060
aug056,Hastigheten,Jörgen Gassilewski,M,PRESTIGE,dash,303686,155452,246928,126390,460503,314999,352253,171640,52077,315779,249971
aug057,I en skog av sumak,Klas Östergren,M,PRESTIGE,quot,48871,86067,62292,42370,68402,78353,119405,71059,53925,52198,68294
aug058,Sidonie & Nathalie. Från Limhamn till Lofoten,Sigrid Combüchen,F,PRESTIGE,quot,17441,11922,24396,62479,9493,37201,125621,25168,26272,26603,36660
aug059,Socialdemokratiska noveller,Björn Runeborg,M,PRESTIGE,dash,103309,143533,133739,543214,70584,175616,82714,142182,30733,168524,159423
aug060,Människan är den vackraste staden,Sami Said,M,PRESTIGE,quot,213078,146594,121668,155602,109329,142381,148075,198667,209279,153258,159794
aug061,Väderfenomen,Anna Fock,F,PRESTIGE,quot,221051,218727,331831,378481,378154,324081,369199,267934,280191,328587,309824
aug062,Odenplan,Daniel Gustafsson,M,PRESTIGE,dash,72681,53097,118521,77263,131479,119311,186917,139855,33186,110303,104262
aug065,Splendor,Stefan Lindberg,M,PRESTIGE,quot,88215,142760,38774,156816,79241,192379,94650,39966,47071,72989,95284
bstream_001,Alla kan se dig,Anna Jansson,F,CRIME,quot,195705,230602,279836,647683,466393,363340,291023,554121,589960,481598,410025
bstream_002,"Falleri, fallera, falleralla",Carin Gerhardsen,F,CRIME,dash,161432,328367,219927,277745,337763,427326,389148,485567,265555,219946,311278
bstream_003,Hämnaren,"Dag Öhrlund, Dan Buthler",M,CRIME,quot,304674,213376,175387,172998,278321,306721,186761,210646,138080,229868,221685
bstream_004,Vita spår,Emelie Schepp,F,CRIME,dash,171472,365031,388315,370511,432924,287455,401741,381351,251224,254625,330464
bstream_005,Dominodöden,Jonas Moström,M,CRIME,quot,356881,392450,328483,448158,401363,368938,372395,424826,264910,289422,364783
bstream_006,Den gränslöse,Jussi Adler-Olsen,M,CRIME,quot,355547,494912,462211,374682,487900,600459,489606,451167,246091,404716,436729
bstream_007,Skymningsflickan,Katarina Wennstam,F,CRIME,quot,112565,221143,242715,260198,233309,324813,473776,317861,357632,358757,290277
bstream_008,En mörkare himmel : Gran Canaria,"Mari Jungstedt, Ruben Eliassen",2,CRIME,dash,102669,127961,273711,285821,218733,181224,257636,390419,213160,251018,230235
bstream_009,I sanningens namn,Viveca Sten,F,CRIME,quot,185576,258710,276993,228035,401768,289893,313052,148095,269172,253759,262504
bstream_010,Rädslans fångar : Ett nytt fall för Maria Wern,Anna Jansson,F,CRIME,quot,222845,327109,204833,196727,621527,288115,383196,498352,493904,552614,378923
bstream_011,Kärlek sökes,Carin Hjulström,F,ROMANCE,dash,386792,391613,327602,437278,274472,467934,331757,490630,382607,370815,386151
bstream_012,Där inga ögon ser,Dag Öhrlund,M,CRIME,quot,209250,360123,485806,423697,364388,242570,373317,367453,504198,353772,368458
bstream_013,Motvind,"Dag Öhrlund, Dan Buthler",M,CRIME,quot,283254,307954,224904,192046,366531,185022,248924,353274,233968,269205,266508
bstream_014,På sex meters djup,Denise Rudberg,F,CRIME,dash,544243,256665,473625,508508,500922,629041,735961,612734,702070,597929,556170
bstream_015,Prio ett,Emelie Schepp,F,CRIME,dash,300685,276074,448569,369223,396319,294244,373620,549591,370757,210838,358991
bstream_017,Mordbrännaren,"Anders Gustafson, Johan Kant",M,CRIME,dash,199839,283004,178818,260780,214466,109246,203403,301403,225621,365685,234226
bstream_018,Midnattsflickor,Jonas Moström,M,CRIME,quot,158472,579351,421137,381160,266312,296083,340075,205619,381586,207025,323680
bstream_019,När livet börjar om,Lucy Dillon,F,ROMANCE,quot,318752,359163,413287,397235,389109,420206,412832,363443,513860,360678,394857
bstream_020,Välkommen hem,Ninni Schulman,F,CRIME,quot,229647,286033,314060,394218,277945,371654,414515,277625,274342,309798,314983
bstream_021,Sov du lilla videung,"Cilla Börjlind, Rolf Börjlind",2,CRIME,dash,139988,251333,239167,207500,201667,217083,215750,205417,206417,236250,212057
bstream_022,Den hemliga kvinnan,Anna Ekberg,F,CRIME,dash,278615,186305,208010,197416,205685,310395,296382,147976,184496,188200,220349
bstream_023,Det du inte vet,Anna Jansson,F,CRIME,quot,333832,283527,289053,682054,519341,417981,298837,512720,463681,329381,413040
bstream_024,Tryggare kan ingen vara,Dag Öhrlund,M,CRIME,quot,457838,403207,363083,451893,507825,382111,563852,523423,438949,264876,435706
bstream_025,Uppståndelsen,"Dag Öhrlund, Dan Buthler",M,CRIME,quot,292223,164235,221779,343062,242153,284928,283453,217511,454433,454708,295848
bstream_026,De sju som såg,Denise Rudberg,F,CRIME,dash,533372,564819,463114,438986,722962,399370,763248,689156,544335,462541,558191
bstream_027,Trogen intill döden,Jonas Moström,M,CRIME,quot,319645,597679,321796,411907,377296,365150,326135,481332,324723,280727,380638
bstream_028,Prästens lilla flicka,Susan Casserfelt,F,CRIME,quot,281015,142702,259885,275708,205642,265468,237120,267647,344298,332680,261217
bstream_029,Den tatuerade cirkeln,Susan Casserfelt,F,CRIME,quot,291775,260250,320198,338169,242894,339985,489603,302591,329337,317374,323216
bstream_030,Kvinnan på bänken,Anna Jansson,F,CRIME,quot,188930,431420,523396,308449,573894,621629,524351,433009,517321,452186,457457
bstream_031,Bakom stängda dörrar,B.A. Paris,F,CRIME,quot,313880,332617,313522,358396,142635,254446,289772,392887,431913,339341,316943
bstream_033,5:e Moseboken,Christina Larsson,F,CRIME,quot,496324,548004,487131,568487,445005,610189,487605,593865,649265,339006,522490
bstream_034,Nådastöten,Christina Larsson,F,CRIME,quot,387433,502609,538299,461086,379150,577265,448873,518872,526257,484623,482448
bstream_035,Se till mig som liten är,Dag Öhrlund,M,CRIME,quot,267307,406021,504252,387396,443991,384504,550944,461728,553495,355873,431552
bstream_036,Domaren,Dag Öhrlund,M,CRIME,quot,59218,172477,143661,118125,309300,260178,374797,345063,309516,216652,230899
bstream_037,Hämndens pris,Erik Lewin,M,CRIME,quot,147759,183981,287393,264739,227678,94778,195735,227583,181991,158104,196973
bstream_038,Änglabarnet,"Anders Gustafson, Johan Kant",M,CRIME,quot,62667,275233,281014,162667,160960,288128,172889,120053,245442,204980,197395
bstream_039,Skuggorna ruva,Jonas Moström,M,CRIME,quot,283300,501450,415742,374900,496550,388339,273800,492249,499450,240124,396588
bstream_040,Ondskans ansikte,Mats Ahlstedt,M,CRIME,dash,278337,399431,408552,374437,355484,472107,456172,475243,390784,388297,399884
bstream_042,Mitt hjärta är ditt,Anna Jansson,F,CRIME,quot,435721,431796,469087,543948,532330,515865,574482,624905,478465,364667,497127
bstream_043,Dotter saknad,Anna Jansson,F,CRIME,quot,56013,276139,399560,378208,423537,461030,525852,431252,527384,348750,382773
bstream_044,Ingen lämnas kvar,Dag Öhrlund,M,CRIME,quot,370209,484271,508566,564847,389120,273933,563105,480592,594037,420482,464917
