id,title,all_authors,author_gender,category,orthography,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,rfdsd
aug002,En obeskrivlig människa,Kerstin Strandberg,F,PRESTIGE,quot,25709,54348,37636,37116,37381,85078,49046,50371,37106,100477,98356,267426,56204,77413,75007,105779,232768,88259,74496,40827,81541
aug006,I min ungdom speglade jag mig ofta,Per Gunnar Evander,M,PRESTIGE,dash,0,0,0,0,0,0,104005,302451,414824,11357,406213,512851,54991,297669,127316,72325,335326,35864,75912,111178,143118
aug011,Har någon sett mig någon annanstans? Skärvor ur en ganska lång natt,Beate Grimsrud,F,PRESTIGE,dash,95323,98934,219065,331754,79384,307874,181280,209591,39100,119076,202487,190166,346951,120261,77014,97099,218602,119597,196682,48578,164949
aug012,Stundande natten,Carl-Henning Wijkmark,M,PRESTIGE,quot,3141,25141,219359,299623,51540,229415,277010,74796,170333,255185,168342,14456,103080,89196,102451,152734,1256,45255,8171,55311,117294
aug013,Världens sista,Daniel Sjölin,M,PRESTIGE,quot,22653,23878,16531,82874,60816,41633,37959,265973,32449,27755,61837,81037,251633,51429,21633,197591,467959,65306,63265,131455,100281
aug016,Edelcrantz förbindelser,Malte Persson,M,PRESTIGE,dash,287140,107703,29237,146933,123157,174233,167142,223199,4042,66572,22819,558726,183504,10699,90585,158783,100808,0,187114,122920,138266
aug017,Ett annat liv,Per Olov Enquist,M,PRESTIGE,quot,12834,8673,14918,22550,3642,9714,26539,42324,34513,3816,27407,23070,9192,26193,17693,24805,101630,37814,18387,5898,23581
aug019,Den siste greken,Aris Fioretos,M,PRESTIGE,quot,145023,100404,200977,112197,100556,115061,206031,229616,94661,276280,66880,153302,115883,96530,41947,193059,85060,352426,159198,72608,145883
aug020,En liten historia,Eva Adolfsson,F,PRESTIGE,quot,30642,27341,32298,57581,47639,21118,31069,29400,34383,28169,39752,154101,238509,14085,48467,29814,9942,21946,39768,47639,49184
aug022,Ränderna,Magnus Florin,M,PRESTIGE,dash,2959,207101,345562,48521,0,0,75148,34911,104142,128402,398225,92899,21302,66864,224852,339053,258580,189349,286391,291297,155774
aug023,Kioskvridning 140 grader. En wästern,Peter Törnqvist,M,PRESTIGE,dash,94518,52254,97336,32787,17930,54303,2561,13320,87602,64549,99898,27664,81967,126025,95543,23822,92725,104252,427766,410348,100359
aug024,Darling River. Doloresvariationer,Sara Stridsberg,F,PRESTIGE,quot,16260,23984,3659,6504,63008,117480,134553,28049,2846,121187,131301,176829,127642,80894,0,2846,71545,117073,82114,25214,66649
aug026,Välkommen till den här världen:,Amanda Svensson,F,PRESTIGE,quot,5908,0,64254,91984,114845,132619,348227,372368,164697,79054,192024,220909,127400,77946,189069,83118,405465,201330,164697,101588,156879
aug027,Rekviem för John Cummings,Bengt Ohlsson,M,PRESTIGE,dash,148041,91630,82787,134167,44824,84464,113584,103827,43909,92545,86599,67083,71810,112975,80195,70285,68760,17838,91020,49398,82787
aug029,Lacrimosa,Eva-Marie Liffner,F,PRESTIGE,quot,18974,147020,64939,141673,91929,194066,64404,229083,135756,73242,184977,136291,131783,157402,242983,114645,221064,194014,64154,287089,144770
aug030,Korparna,Tomas Bannerhed,M,PRESTIGE,dash,162812,218228,153459,242043,229448,119331,223952,397298,293175,304099,187543,297526,228990,372109,314475,188917,129379,215300,222807,91388,229615
aug031,Springa med åror,Cilla Naumann,F,PRESTIGE,quot,21931,68624,33605,183233,121019,65794,63318,35373,49169,39278,18394,16272,113194,9197,62987,30067,30421,35727,177573,77849,62650
