id,title,all_authors,author_gender,translation,publisher,publication_date,subset,award,category,orthography
aug002,En obeskrivlig människa,Kerstin Strandberg,F,no,Albert Bonniers,2004,august,August,PRESTIGE,quot
aug006,I min ungdom speglade jag mig ofta,Per Gunnar Evander,M,no,Albert Bonniers,2005,august,August,PRESTIGE,dash
aug011,Har någon sett mig någon annanstans? Skärvor ur en ganska lång natt,Beate Grimsrud,F,no,Albert Bonniers,2007,august,August,PRESTIGE,dash
aug012,Stundande natten,Carl-Henning Wijkmark,M,no,Norstedts,2007,august,August,PRESTIGE,quot
aug013,Världens sista,Daniel Sjölin,M,no,Norstedts,2007,august,August,PRESTIGE,quot
aug016,Edelcrantz förbindelser,Malte Persson,M,no,Albert Bonniers,2008,august,August,PRESTIGE,dash
aug017,Ett annat liv,Per Olov Enquist,M,no,Norstedts,2008,august,August,PRESTIGE,quot
aug019,Den siste greken,Aris Fioretos,M,no,Norstedts,2009,august,August,PRESTIGE,quot
aug020,En liten historia,Eva Adolfsson,F,no,Albert Bonniers,2009,august,August,PRESTIGE,quot
aug022,Ränderna,Magnus Florin,M,no,Albert Bonniers,2010,august,August,PRESTIGE,dash
aug023,Kioskvridning 140 grader. En wästern,Peter Törnqvist,M,no,Norstedts,2010,august,August,PRESTIGE,dash
aug024,Darling River. Doloresvariationer,Sara Stridsberg,F,no,Albert Bonniers,2010,august,August,PRESTIGE,quot
aug026,Välkommen till den här världen:,Amanda Svensson,F,no,Norstedts,2011,august,August,PRESTIGE,quot
aug027,Rekviem för John Cummings,Bengt Ohlsson,M,no,Albert Bonniers,2011,august,August,PRESTIGE,dash
aug029,Lacrimosa,Eva-Marie Liffner,F,no,Natur och Kultur,2011,august,August,PRESTIGE,quot
aug030,Korparna,Tomas Bannerhed,M,no,Weyler,2011,august,August,PRESTIGE,dash
aug031,Springa med åror,Cilla Naumann,F,no,Albert Bonniers,2012,august,August,PRESTIGE,quot
aug032,Ett kort uppehåll på vägen från Auschwitz,Göran Rosenberg,M,no,Albert Bonniers,2012,august,August,PRESTIGE,quot
aug033,En storm kom från paradiset,Johannes Anyuru,M,no,Norstedts,2012,august,August,PRESTIGE,quot
aug037,Liknelseboken. En kärleksroman,Per Olov Enquist,M,no,Norstedts,2013,august,August,PRESTIGE,dash
aug038,Porslinsfasaderna,Sven Olov Karlsson,M,no,Natur och Kultur,2013,august,August,PRESTIGE,dash
aug039,Alkemistens dotter. Slutet på universum,Carl-Michael Edenborg,M,no,Natur och Kultur,2014,august,August,PRESTIGE,dash
aug041,Ett så starkt ljus,Lyra Ekström Lindbäck,F,no,Modernista,2014,august,August,PRESTIGE,quot
aug042,Beckomberga. Ode till min familj,Sara Stridsberg,F,no,Albert Bonniers,2014,august,August,PRESTIGE,quot
aug045,Mary,Aris Fioretos,M,no,Norstedts,2015,august,August,PRESTIGE,quot
aug046,Masja,Carola Hansson,F,no,Albert Bonniers,2015,august,August,PRESTIGE,quot
aug047,Rörelsen. Den andra platsen,John Ajvide Lindqvist,M,no,Ordfront,2015,august,August,PRESTIGE,quot
aug049,Bli som folk,Stina Stoor,F,no,Norstedts,2015,august,August,PRESTIGE,dash
aug051,De polyglotta älskarna,Lina Wolff,F,no,Albert Bonniers,2016,august,August,PRESTIGE,dash
aug053,Aftonland,Therese Bohman,F,no,Norstedts,2016,august,August,PRESTIGE,quot
aug054,Just nu är jag här,Isabelle Ståhl,F,no,Natur och Kultur,2017,august,August,PRESTIGE,quot
aug056,Hastigheten,Jörgen Gassilewski,M,no,Albert Bonniers,2017,august,August,PRESTIGE,dash
aug057,I en skog av sumak,Klas Östergren,M,no,Natur och Kultur,2017,august,August,PRESTIGE,quot
aug058,Sidonie & Nathalie. Från Limhamn till Lofoten,Sigrid Combüchen,F,no,Norstedts,2017,august,August,PRESTIGE,quot
aug059,Socialdemokratiska noveller,Björn Runeborg,M,no,Modernista,2018,august,August,PRESTIGE,dash
aug060,Människan är den vackraste staden,Sami Said,M,no,Natur och Kultur,2018,august,August,PRESTIGE,quot
aug061,Väderfenomen,Anna Fock,F,no,Natur & Kultur,2019,august,August,PRESTIGE,quot
aug062,Odenplan,Daniel Gustafsson,M,no,Nirstedt/litteratur,2019,august,August,PRESTIGE,dash
aug065,Splendor,Stefan Lindberg,M,no,Albert Bonniers,2020,august,August,PRESTIGE,quot
bstream_001,Alla kan se dig,Anna Jansson,F,no,Norstedts,2015-03-19,beststreamer,,CRIME,quot
bstream_002,"Falleri, fallera, falleralla",Carin Gerhardsen,F,no,Norstedts,2015-05-21,beststreamer,,CRIME,dash
bstream_003,Hämnaren,"Dag Öhrlund, Dan Buthler",M,no,Lind & Co,2015-04-15,beststreamer,,CRIME,quot
bstream_004,Vita spår,Emelie Schepp,F,no,Bonnier Audio,2015-05-19,beststreamer,,CRIME,dash
bstream_005,Dominodöden,Jonas Moström,M,no,Lind & Co,2015-07-20,beststreamer,,CRIME,quot
bstream_006,Den gränslöse,Jussi Adler-Olsen,M,transl,Bonnier Audio,2015-05-04,beststreamer,,CRIME,quot
bstream_007,Skymningsflickan,Katarina Wennstam,F,no,Bonnier Audio,2015-07-31,beststreamer,,CRIME,quot
bstream_008,En mörkare himmel : Gran Canaria,"Mari Jungstedt, Ruben Eliassen",2,no,Bonnier Audio,2014-12-30,beststreamer,,CRIME,dash
bstream_009,I sanningens namn,Viveca Sten,F,no,Bonnier Audio,2015-11-04,beststreamer,,CRIME,quot
bstream_010,Rädslans fångar : Ett nytt fall för Maria Wern,Anna Jansson,F,no,Norstedts,2016-03-10,beststreamer,,CRIME,quot
bstream_011,Kärlek sökes,Carin Hjulström,F,no,Bonnier Audio,2016-04-13,beststreamer,,ROMANCE,dash
