id,title,all_authors,author_gender,category,orthography,rfdsd,mninsl,wc
aug002,En obeskrivlig människa,Kerstin Strandberg,F,PRESTIGE,quot,81541,13.824719101123595,75447
aug006,I min ungdom speglade jag mig ofta,Per Gunnar Evander,M,PRESTIGE,dash,143118,12.124050632911393,33462
aug011,Har någon sett mig någon annanstans? Skärvor ur en ganska lång natt,Beate Grimsrud,F,PRESTIGE,dash,164949,8.649068322981366,33768
aug012,Stundande natten,Carl-Henning Wijkmark,M,PRESTIGE,quot,117294,14.357692307692307,31826
aug013,Världens sista,Daniel Sjölin,M,PRESTIGE,quot,100281,11.615839243498819,97995
aug016,Edelcrantz förbindelser,Malte Persson,M,PRESTIGE,dash,138266,12.602383531960998,84128
aug017,Ett annat liv,Per Olov Enquist,M,PRESTIGE,quot,23581,7.997058823529412,115305
aug019,Den siste greken,Aris Fioretos,M,PRESTIGE,quot,145883,13.56303837118246,118725
aug020,En liten historia,Eva Adolfsson,F,PRESTIGE,quot,49184,6.785714285714286,48288
aug022,Ränderna,Magnus Florin,M,PRESTIGE,dash,155774,11.546052631578947,33799
aug023,Kioskvridning 140 grader. En wästern,Peter Törnqvist,M,PRESTIGE,dash,100359,9.19718309859155,78080
aug024,Darling River. Doloresvariationer,Sara Stridsberg,F,PRESTIGE,quot,66649,10.715686274509803,49198
aug026,Välkommen till den här världen:,Amanda Svensson,F,PRESTIGE,quot,156879,14.697231833910035,54150
aug027,Rekviem för John Cummings,Bengt Ohlsson,M,PRESTIGE,dash,82787,6.662576687116564,131180
aug029,Lacrimosa,Eva-Marie Liffner,F,PRESTIGE,quot,144770,12.394736842105264,74829
aug030,Korparna,Tomas Bannerhed,M,PRESTIGE,dash,229615,10.294147843942506,87333
aug031,Springa med åror,Cilla Naumann,F,PRESTIGE,quot,62650,9.625,56536
aug032,Ett kort uppehåll på vägen från Auschwitz,Göran Rosenberg,M,PRESTIGE,quot,65739,13.839285714285714,82523
aug033,En storm kom från paradiset,Johannes Anyuru,M,PRESTIGE,quot,92236,9.93046357615894,65029
aug037,Liknelseboken. En kärleksroman,Per Olov Enquist,M,PRESTIGE,dash,31544,7.941463414634146,51611
aug038,Porslinsfasaderna,Sven Olov Karlsson,M,PRESTIGE,dash,55392,12.408695652173913,51524
aug039,Alkemistens dotter. Slutet på universum,Carl-Michael Edenborg,M,PRESTIGE,dash,338441,14.314814814814815,79940
aug041,Ett så starkt ljus,Lyra Ekström Lindbäck,F,PRESTIGE,quot,124398,12.091757387247279,62501
aug042,Beckomberga. Ode till min familj,Sara Stridsberg,F,PRESTIGE,quot,271222,10.030276816608996,42751
aug045,Mary,Aris Fioretos,M,PRESTIGE,quot,88580,8.49307774227902,90032
aug046,Masja,Carola Hansson,F,PRESTIGE,quot,106893,10.700688791484033,159870
aug047,Rörelsen. Den andra platsen,John Ajvide Lindqvist,M,PRESTIGE,quot,87467,6.626654898499559,85838
aug049,Bli som folk,Stina Stoor,F,PRESTIGE,dash,51121,6.662037037037037,28149
aug051,De polyglotta älskarna,Lina Wolff,F,PRESTIGE,dash,179771,9.618441971383147,67308
aug053,Aftonland,Therese Bohman,F,PRESTIGE,quot,130398,11.781609195402298,55024
aug054,Just nu är jag här,Isabelle Ståhl,F,PRESTIGE,quot,257060,9.049808429118775,55131
aug056,Hastigheten,Jörgen Gassilewski,M,PRESTIGE,dash,249971,16.907651715039577,51270
